i,box_h,pred,conf,illegible,face_px_det,face_px_geo,anchor,face,face_usable
125,116.0,-1,0.1628,True,0.0,12.888888888888888,False,False,False
126,101.0,33,0.1575,False,0.0,11.222222222222221,False,False,False
127,116.0,20,0.6012,False,0.0,12.888888888888888,False,False,False
128,115.0,30,0.1828,False,0.0,12.777777777777777,False,False,False
129,109.0,11,0.1735,False,0.0,12.11111111111111,False,False,False
130,110.0,31,0.1516,False,0.0,12.222222222222221,False,False,False
131,125.0,11,0.4283,False,0.0,13.888888888888888,False,False,False
132,109.0,20,0.2887,False,0.0,12.11111111111111,False,False,False
133,125.0,11,0.7392,False,0.0,13.888888888888888,True,False,False
134,111.0,10,0.2404,False,0.0,12.333333333333332,False,False,False
135,110.0,10,0.1065,False,0.0,12.222222222222221,False,False,False
136,101.0,20,0.4948,False,0.0,11.222222222222221,False,False,False
137,119.0,20,0.3172,False,0.0,13.222222222222221,False,False,False
138,146.0,11,0.7092,False,0.0,16.22222222222222,True,False,False
139,103.0,20,0.2468,False,0.0,11.444444444444445,False,False,False
140,101.0,23,0.1977,False,0.0,11.222222222222221,False,False,False
141,117.0,20,0.4343,False,0.0,13.0,False,False,False
142,110.0,33,0.1228,False,0.0,12.222222222222221,False,False,False
143,142.0,28,0.2092,False,0.0,15.777777777777777,False,False,False
144,100.0,14,0.6209,False,0.0,11.11111111111111,False,False,False
145,100.0,-1,0.1359,True,0.0,11.11111111111111,False,False,False
146,121.0,10,0.2585,False,0.0,13.444444444444443,False,False,False
147,107.0,20,0.5981,False,0.0,11.888888888888888,False,False,False
148,101.0,10,0.1326,False,0.0,11.222222222222221,False,False,False
149,108.0,4,0.2092,False,0.0,12.0,False,False,False
150,112.0,6,0.2667,False,0.0,12.444444444444443,False,False,False
151,122.0,10,0.2044,False,0.0,13.555555555555555,False,False,False
152,101.0,28,0.1038,False,0.0,11.222222222222221,False,False,False
153,134.0,10,0.6121,False,0.0,14.888888888888888,False,False,False
154,120.0,28,0.1951,False,0.0,13.333333333333332,False,False,False
155,104.0,-1,0.3486,True,0.0,11.555555555555555,False,False,False
156,105.0,20,0.5121,False,0.0,11.666666666666666,False,False,False
157,116.0,4,0.4498,False,0.0,12.888888888888888,False,False,False
158,123.0,20,0.4919,False,0.0,13.666666666666666,False,False,False
159,136.0,36,0.32,False,0.0,15.11111111111111,False,False,False
160,103.0,20,0.3451,False,0.0,11.444444444444445,False,False,False
161,123.0,11,0.6496,False,0.0,13.666666666666666,False,False,False
